[0226/124821.115:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/124832.384:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/124843.612:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/124854.389:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/124905.294:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/124918.356:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/124929.108:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/124941.289:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/124951.980:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125002.833:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125013.544:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125024.974:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125035.712:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125046.437:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125057.183:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125107.821:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125119.041:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125130.391:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125141.135:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125151.973:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125202.739:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125213.542:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125224.318:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125240.390:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125253.361:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125305.450:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125317.489:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125331.030:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125342.353:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125354.198:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/125406.213:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
